customer_id,date,revenue
1949220956,2021-12-01,44.22
1606662842,2021-12-01,57.28
1927428863,2021-12-01,43.08
1301662802,2021-12-01,72.7
1371842423,2021-12-01,94.02
1608561052,2021-12-01,121.1
1140944748,2021-12-01,98.7
1094444633,2021-12-01,37.84
1001259466,2021-12-01,112.87
1421806426,2021-12-01,11.81
1200565832,2021-12-01,7.82
1905061293,2021-12-01,64.05
1633442830,2021-12-01,66.76
1480251833,2021-12-01,50.45
1871539033,2021-12-01,97.46
1279013997,2021-12-01,30.23
1360676933,2021-12-01,121.39
1709505467,2021-12-01,119.06
1775733642,2021-12-01,109.93
1945144864,2021-12-01,24.0
1815287006,2021-12-01,31.88
1307355211,2021-12-01,53.62
1386748103,2021-12-01,82.76
1867229843,2021-12-01,116.26
1162458697,2021-12-01,68.44
1670117743,2021-12-01,24.25
1739601393,2021-12-01,118.21
1181186787,2021-12-01,121.77
1908412636,2021-12-01,35.41
1646056128,2021-12-01,78.24
1810074836,2021-12-01,95.26
1954910127,2021-12-01,65.23
1524078535,2021-12-01,92.3
1574301453,2021-12-01,99.84
1982980144,2021-12-01,70.36
1378620622,2021-12-01,40.71
1034771971,2021-12-01,67.46
1709296877,2021-12-01,30.65
1265307814,2021-12-01,3.89
1868639059,2021-12-01,95.25
1033870297,2021-12-01,74.26
1878104259,2021-12-01,33.9
1280438487,2021-12-01,41.7
1998249408,2021-12-01,98.34
1339264663,2021-12-01,120.33
1829524548,2021-12-01,45.16
1010798975,2021-12-01,91.86
1107447983,2021-12-01,102.39
1585338882,2021-12-01,8.13
1039974645,2021-12-01,36.76
1559847130,2021-12-01,102.71
1496162700,2021-12-01,92.29
1711287840,2021-12-01,120.18
1144774605,2021-12-01,66.21
1521304711,2021-12-01,75.11
1105208841,2021-12-01,27.54
1944156275,2021-12-01,16.27
1479274974,2021-12-01,38.29
1990344516,2021-12-01,27.9
1835055089,2021-12-01,91.48
1726684062,2021-12-01,114.74
1110684339,2021-12-01,123.76
1542114233,2021-12-01,101.49
1320781200,2021-12-01,79.06
1404695070,2021-12-01,124.61
1119386119,2021-12-01,92.88
1778071181,2021-12-01,88.7
1221849003,2021-12-01,84.66
1242302027,2021-12-01,57.47
1400467663,2021-12-01,104.95
1785370102,2021-12-01,121.35
1659339692,2021-12-01,60.82
1501112158,2021-12-01,36.09
1045326141,2021-12-01,103.49
1556788811,2021-12-01,41.96
1726423233,2021-12-01,102.78
1370778587,2021-12-01,70.41
1723722601,2021-12-01,32.2
1534473509,2021-12-01,17.07
1256290135,2021-12-01,88.59
1108909652,2021-12-01,5.06
1774645640,2021-12-01,56.79
1773907140,2021-12-01,58.75
1937468778,2021-12-01,61.72
1299104982,2021-12-01,116.38
1884436237,2021-12-01,10.14
1287758695,2021-12-01,89.05
1320380379,2021-12-01,23.27
1106363091,2021-12-01,47.14
1405438332,2021-12-01,96.23
1196177112,2021-12-01,71.73
1416932294,2021-12-01,64.98
1322082150,2021-12-01,5.41
1700598245,2021-12-01,17.79
1732443974,2021-12-01,54.24
1489212473,2021-12-01,116.94
1494462230,2021-12-01,111.07
1638632765,2021-12-01,48.23
1617179503,2021-12-01,96.26
1462543595,2021-12-01,61.81
1710993801,2021-12-01,66.28
1756605258,2021-12-01,5.19
1021900026,2021-12-01,96.5
1852062585,2021-12-01,58.1
1194029959,2021-12-01,99.21
1083270277,2021-12-01,116.33
1444496286,2021-12-01,109.59
1923449153,2021-12-01,107.97
1617306469,2021-12-01,81.15
1506271302,2021-12-01,55.13
1085290605,2021-12-01,39.66
1090938672,2021-12-01,90.4
1888695663,2021-12-01,28.33
1305640243,2021-12-01,112.8
1861930877,2021-12-01,34.41
1510658136,2021-12-01,19.97
1702900666,2021-12-01,100.13
1349938280,2021-12-01,62.87
1997124948,2021-12-01,103.98
1233494081,2021-12-01,39.15
1612263774,2021-12-01,57.79
1306015688,2021-12-01,5.59
1932386641,2021-12-01,96.04
1081898809,2021-12-01,111.02
1006861300,2021-12-01,123.4
1247192926,2021-12-02,10.57
1718093778,2021-12-02,62.22
1572156523,2021-12-02,117.66
1292543347,2021-12-02,77.09
1174391553,2021-12-02,17.4
1853206624,2021-12-02,87.21
1280199235,2021-12-02,37.85
